first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Important_Customer,Age_Category,Tenure_Category,past_3_years_purchase_cat
Rockwell,Matson,Male,94,1995-01-01,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,Queensland,Australia,6,NO,Young,0,9
Wheeler,Winward,Male,48,1999-08-30,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,Victoria,Australia,8,NO,Young,2,4
Olag,,Male,60,1990-05-13,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,New South Wales,Australia,11,YES,Young,1,6
Melba,Spellacy,Female,38,1976-12-09,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,New South Wales,Australia,10,YES,Middle_Aged,0,3
Mandie,Feares,Female,32,1964-04-19,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,Queensland,Australia,8,NO,Middle_Aged,2,3
Dukie,Swire,Male,88,1954-03-31,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,New South Wales,Australia,8,YES,Senior_Citizen,1,8
Marcelia,Monkleigh,Female,61,1993-08-22,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,Queensland,Australia,6,YES,Young,0,6
Winnifred,Beswetherick,Female,83,1976-06-08,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,Victoria,Australia,10,YES,Middle_Aged,2,8
Odilia,Quick,Female,65,1938-11-09,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,New South Wales,Australia,11,YES,Senior_Citizen,2,6
Karly,Willavize,Female,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,New South Wales,Australia,10,NO,Senior_Citizen,2,0
Teddie,Burchill,Male,11,1968-12-21,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,New South Wales,Australia,9,YES,Middle_Aged,2,1
Gaston,Dallaghan,Male,44,1993-09-29,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,New South Wales,Australia,7,YES,Young,1,4
Otis,Ottey,Male,26,1998-02-05,Quality Engineer,,Mass Customer,N,No,3,1562 Merchant Street,4744,Queensland,Australia,4,YES,Young,0,2
Tabbatha,Averill,Female,5,1977-12-17,Quality Control Specialist,,Affluent Customer,N,Yes,13,663 8th Parkway,2257,New South Wales,Australia,8,YES,Middle_Aged,2,0
Brena,Schnitter,Female,78,1982-10-11,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,Queensland,Australia,5,NO,Middle_Aged,0,7
Rourke,Gillbard,Male,11,1945-08-03,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,Queensland,Australia,4,NO,Senior_Citizen,3,1
Dyane,Burwell,Female,19,1952-06-27,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,New South Wales,Australia,2,NO,Senior_Citizen,1,1
Claudine,Barstowk,Female,71,1966-07-20,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,Queensland,Australia,11,YES,Middle_Aged,1,7
Blinnie,Roze,Female,84,1960-12-10,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,Queensland,Australia,7,NO,Senior_Citizen,2,8
Rhona,De Freyne,Female,45,1960-11-22,,Health,High Net Worth,N,No,8,11184 East Drive,3056,Victoria,Australia,10,NO,Senior_Citizen,1,4
Sharron,Claibourn,Female,62,1980-01-26,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,New South Wales,Australia,8,NO,Middle_Aged,3,6
Brien,Heaton,Male,70,1951-11-28,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,New South Wales,Australia,2,NO,Senior_Citizen,2,7
Sybilla,MacCart,Female,88,1987-01-15,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,New South Wales,Australia,7,YES,Middle_Aged,1,8
Mikel,McNess,Male,71,1981-09-22,Nurse,,Mass Customer,N,No,9,3 Pleasure Drive,4122,Queensland,Australia,9,YES,Middle_Aged,1,7
Maisie,Maddox,Female,27,1977-05-09,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,Victoria,Australia,9,YES,Middle_Aged,3,2
Arleen,Casbolt,Female,48,1975-05-10,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,Queensland,Australia,1,NO,Middle_Aged,2,4
Farlie,Petford,Male,76,1968-03-25,Recruiting Manager,,High Net Worth,N,No,13,2330 Butternut Trail,2017,New South Wales,Australia,10,YES,Middle_Aged,2,7
Mitchell,MacCague,Male,58,1979-04-11,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,Victoria,Australia,8,YES,Middle_Aged,3,5
Garik,Whitwell,Male,44,1955-06-13,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,Victoria,Australia,2,YES,Senior_Citizen,2,4
Antonin,Britt,Male,64,1993-08-28,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,New South Wales,Australia,9,YES,Young,1,6
Vinny,Incogna,Female,73,1953-02-13,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,New South Wales,Australia,8,YES,Senior_Citizen,2,7
Colene,Fishleigh,Female,24,1985-03-14,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,Victoria,Australia,10,YES,Middle_Aged,0,2
Neile,Argent,Female,79,1946-10-25,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,New South Wales,Australia,10,NO,Senior_Citizen,1,7
Corinna,Suggey,Female,52,1966-09-18,Design Engineer,,Affluent Customer,N,No,9,938 Ilene Road,2761,New South Wales,Australia,8,YES,Middle_Aged,1,5
Brooke,Arling,Male,76,1961-12-05,,,High Net Worth,N,No,6,6 Melby Center,3027,Victoria,Australia,5,NO,Senior_Citizen,1,7
Gipsy,Ewestace,Female,29,1956-08-30,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,New South Wales,Australia,12,NO,Senior_Citizen,1,2
Sheena,Kybbye,Female,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,Queensland,Australia,1,NO,Senior_Citizen,3,1
Jobina,Gobourn,Female,85,1994-12-04,VP Quality Control,,High Net Worth,N,Yes,14,18 Grim Road,4305,Queensland,Australia,4,NO,Young,2,8
Gale,Disbrow,Female,59,1977-05-14,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,Victoria,Australia,7,NO,Middle_Aged,3,5
Thaxter,Kingsbury,Male,12,1950-05-03,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,New South Wales,Australia,12,NO,Senior_Citizen,3,1
Heinrick,Shilstone,Male,60,1978-02-11,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,Victoria,Australia,8,YES,Middle_Aged,2,6
Taylor,Steuhlmeyer,Male,62,1999-03-22,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,Queensland,Australia,8,NO,Young,1,6
Griswold,Kelsall,Male,55,1993-12-19,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,Victoria,Australia,7,NO,Young,2,5
Odessa,Mc Andrew,Female,97,1981-12-01,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,New South Wales,Australia,10,NO,Middle_Aged,1,9
Lavena,Seekings,Female,87,1995-03-25,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,Victoria,Australia,10,YES,Young,3,8
Martelle,Tuppeny,Female,52,1981-02-03,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,New South Wales,Australia,10,NO,Middle_Aged,1,5
Briant,Ladley,Male,75,1979-12-17,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,New South Wales,Australia,8,NO,Middle_Aged,2,7
Marylou,Kirkup,Female,51,1972-10-31,VP Product Management,,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,Victoria,Australia,9,NO,Middle_Aged,2,5
Whittaker,,Male,64,1966-07-29,Media Manager III,,Mass Customer,N,Yes,8,683 Florence Way,3156,Victoria,Australia,5,YES,Middle_Aged,1,6
Normy,Goodinge,U,5,,Associate Professor,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,Victoria,Australia,5,YES,Senior_Citizen,0,0
Lorrie,Antonelli,Male,47,1983-02-11,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,New South Wales,Australia,7,NO,Middle_Aged,3,4
Jedediah,Kedie,Male,31,1971-12-29,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,New South Wales,Australia,9,NO,Middle_Aged,1,3
Kaine,Smallcombe,Male,59,1942-02-06,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,New South Wales,Australia,10,YES,Senior_Citizen,2,5
Loise,Iltchev,Female,70,1967-03-18,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,Queensland,Australia,6,NO,Middle_Aged,3,7
Cristen,Maroney,Female,22,1999-11-21,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,Queensland,Australia,7,YES,Young,1,2
Dorothy,Barnardo,Female,58,1983-02-01,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,New South Wales,Australia,8,YES,Middle_Aged,2,5
Rosmunda,Duxbarry,Female,69,1996-07-20,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,Queensland,Australia,11,NO,Young,1,6
Rozamond,Riha,Female,54,1984-10-07,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,Queensland,Australia,7,NO,Middle_Aged,3,5
Gunner,Petti,Male,62,1999-06-08,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,Queensland,Australia,5,YES,Young,0,6
Vivienne,Crayden,Female,82,1988-09-18,Associate Professor,,High Net Worth,N,Yes,6,69 Algoma Center,4173,Queensland,Australia,7,YES,Young,1,8
Sherilyn,Canero,Female,11,1996-08-03,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,New South Wales,Australia,7,YES,Young,2,1
Bessie,Roscow,Female,78,1994-08-04,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,New South Wales,Australia,10,YES,Young,1,7
Kevina,Ferandez,Female,73,1999-09-21,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,Queensland,Australia,9,NO,Young,3,7
Yancy,Clementet,Male,5,1968-02-16,Mechanical Systems Engineer,,High Net Worth,N,No,15,9 Union Center,2147,New South Wales,Australia,9,YES,Middle_Aged,3,0
Mabelle,Wellbelove,Female,76,1958-04-21,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,New South Wales,Australia,9,NO,Senior_Citizen,3,7
Hasheem,Groucock,Male,98,1974-09-17,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,New South Wales,Australia,12,YES,Middle_Aged,2,9
Tobias,Woodhams,Male,0,1961-04-15,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,New South Wales,Australia,9,YES,Senior_Citizen,3,0
Glennis,Flintoff,Female,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,Victoria,Australia,7,YES,Senior_Citizen,2,3
Chanda,Mensler,Female,15,1972-01-14,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,New South Wales,Australia,10,YES,Middle_Aged,2,1
Katheryn,Kinner,Female,15,1973-11-28,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,New South Wales,Australia,6,NO,Middle_Aged,1,1
Sumner,Carrivick,Male,53,1995-04-09,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,New South Wales,Australia,12,NO,Young,3,5
Valerie,Pickover,Female,34,1965-09-08,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,New South Wales,Australia,8,YES,Middle_Aged,1,3
Esther,Rooson,Female,14,1981-02-22,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,New South Wales,Australia,9,NO,Middle_Aged,1,1
Gardie,Crellim,Male,58,1975-09-12,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,Victoria,Australia,12,YES,Middle_Aged,1,5
Sean,O'Loughlin,Male,48,1961-03-22,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,New South Wales,Australia,10,NO,Senior_Citizen,3,4
Pietra,Buckleigh,Female,9,1949-04-29,Engineer III,,High Net Worth,N,No,13,387 Dixon Alley,2024,New South Wales,Australia,10,NO,Senior_Citizen,2,0
Marysa,Rouchy,Female,8,1999-02-15,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,New South Wales,Australia,9,NO,Young,1,0
Kahaleel,,Male,5,1942-11-01,GIS Technical Architect,,High Net Worth,N,No,13,12 Arapahoe Park,2035,New South Wales,Australia,12,NO,Senior_Citizen,2,0
Ossie,Midden,Male,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,New South Wales,Australia,9,NO,Senior_Citizen,2,4
Sid,Carlone,Male,24,1971-08-18,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,Queensland,Australia,2,NO,Middle_Aged,3,2
Ludovico,Juster,Male,93,1992-04-19,Environmental Specialist,,Affluent Customer,N,No,15,1 Talisman Avenue,2125,New South Wales,Australia,10,NO,Young,3,9
Patricia,Everix,Female,34,1978-02-19,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,New South Wales,Australia,7,NO,Middle_Aged,3,3
Andromache,Bonafacino,Female,84,1977-09-01,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,New South Wales,Australia,9,NO,Middle_Aged,2,8
Levy,Abramamov,Male,94,1952-09-21,Teacher,,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,Queensland,Australia,8,YES,Senior_Citizen,2,9
Nobe,McAughtry,Male,25,1978-12-14,,,Mass Customer,N,No,12,1 Orin Hill,4510,Queensland,Australia,5,NO,Middle_Aged,2,2
Jehu,Prestedge,Male,91,1999-10-20,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,New South Wales,Australia,12,YES,Young,1,9
Symon,Mawne,Male,18,1943-02-08,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,Victoria,Australia,4,NO,Senior_Citizen,3,1
Karlik,Penchen,Male,60,1994-10-31,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,Queensland,Australia,6,YES,Young,2,6
Bengt,Bilson,Male,26,1972-11-02,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,New South Wales,Australia,10,YES,Middle_Aged,2,2
Evangelin,Boc,Female,30,2000-05-09,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,Victoria,Australia,8,NO,Young,2,3
Hanny,Treven,Female,84,1991-01-22,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,Queensland,Australia,4,YES,Young,0,8
Gina,Mallon,Female,56,1994-02-11,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,Queensland,Australia,2,NO,Young,2,5
Reynold,Elman,Male,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,New South Wales,Australia,2,YES,Senior_Citizen,1,1
Flossy,Concannon,Female,64,1980-10-20,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,Victoria,Australia,2,NO,Middle_Aged,1,6
Cristen,Wiltshire,Female,59,1961-10-20,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,Victoria,Australia,6,NO,Senior_Citizen,3,5
Griffith,Escot,Male,50,1946-10-23,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,Queensland,Australia,3,NO,Senior_Citizen,3,5
Jamie,Jiruca,Female,21,1963-06-16,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,New South Wales,Australia,9,YES,Middle_Aged,3,2
Lyon,Brittan,Male,14,1972-04-23,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,Victoria,Australia,8,NO,Middle_Aged,3,1
Aridatha,Sephton,Female,95,1961-10-22,Human Resources Assistant II,,Mass Customer,N,No,5,422 Forster Circle,2340,New South Wales,Australia,1,YES,Senior_Citizen,1,9
Michal,Bryan,Female,1,1969-11-09,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,Queensland,Australia,8,NO,Middle_Aged,3,0
Franciska,Stigell,Female,95,1968-11-15,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,Victoria,Australia,7,YES,Middle_Aged,1,9
Jordan,Clampe,Male,37,1939-12-09,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,Queensland,Australia,5,YES,Senior_Citizen,2,3
David,Napoleon,Male,72,1961-11-05,Structural Engineer,,High Net Worth,N,No,14,69 Garrison Point,2223,New South Wales,Australia,11,YES,Senior_Citizen,2,7
Meriel,Tapp,Female,0,1995-08-13,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,Victoria,Australia,2,NO,Young,1,0
Dolley,Starmont,Female,53,1977-11-08,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,Queensland,Australia,6,NO,Middle_Aged,3,5
Frederik,Milan,Male,45,1997-11-13,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,New South Wales,Australia,5,NO,Young,1,4
Rollo,Louedey,Male,64,1946-07-09,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,New South Wales,Australia,9,YES,Senior_Citizen,3,6
Jerrine,Cosbey,Female,21,1978-01-11,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,Victoria,Australia,9,YES,Middle_Aged,1,2
Roddy,Rubinshtein,Male,37,1987-10-08,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,Queensland,Australia,7,NO,Middle_Aged,0,3
Viki,Coutts,Female,2,1952-12-14,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,New South Wales,Australia,4,YES,Senior_Citizen,1,0
Ashby,Bispham,Male,71,1981-10-29,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,New South Wales,Australia,8,YES,Middle_Aged,0,7
Alexander,Broadbent,Male,57,1997-05-28,Desktop Support Technician,,Mass Customer,N,No,9,265 Stephen Trail,2209,New South Wales,Australia,10,NO,Young,1,5
Teddy,Lagadu,Female,86,1969-07-20,Design Engineer,,High Net Worth,N,No,6,2 Charing Cross Trail,2759,New South Wales,Australia,8,YES,Middle_Aged,1,8
Peria,Rantoull,Female,3,1975-03-13,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,Queensland,Australia,4,NO,Middle_Aged,0,0
Ludvig,Andren,Male,44,1941-02-22,Media Manager III,,High Net Worth,N,Yes,15,578 Waywood Circle,4306,Queensland,Australia,5,YES,Senior_Citizen,3,4
Elsworth,Abbitt,Male,71,1956-02-08,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,Victoria,Australia,3,YES,Senior_Citizen,1,7
Rebeca,Aggas,Female,66,1953-02-27,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,Victoria,Australia,1,NO,Senior_Citizen,3,6
Ricki,Dobrowski,Male,13,1975-03-10,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,New South Wales,Australia,1,YES,Middle_Aged,1,1
Georgetta,Lovett,Female,42,1940-02-02,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,Queensland,Australia,1,YES,Senior_Citizen,2,4
Bambi,Cogger,Female,51,1990-07-12,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,New South Wales,Australia,7,YES,Young,1,5
Aurie,Rhead,Female,78,1962-07-28,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,New South Wales,Australia,2,NO,Senior_Citizen,1,7
Farris,Skettles,Male,38,1965-07-03,Payment Adjustment Coordinator,,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,Victoria,Australia,7,NO,Middle_Aged,2,3
Sharline,Abyss,Female,11,1960-03-18,,,Mass Customer,N,Yes,15,367 Bay Point,4011,Queensland,Australia,4,NO,Senior_Citizen,3,1
Nowell,Preddy,Male,29,1985-07-23,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,New South Wales,Australia,9,YES,Middle_Aged,1,2
Lacy,Drance,Female,27,1978-02-05,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,New South Wales,Australia,8,YES,Middle_Aged,2,2
Padraig,Snel,Male,89,1970-11-08,Staff Accountant II,,Mass Customer,N,No,19,12683 Mifflin Point,2114,New South Wales,Australia,7,YES,Middle_Aged,3,8
Malorie,Votier,Female,90,1990-05-29,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,Queensland,Australia,5,YES,Young,0,9
Shepperd,Ricards,Male,28,1967-09-27,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,New South Wales,Australia,4,YES,Middle_Aged,3,2
Daryl,Pauncefort,Female,12,1979-06-18,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,New South Wales,Australia,3,NO,Middle_Aged,2,1
Norina,Blakeway,Female,60,1980-02-11,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,Victoria,Australia,8,NO,Middle_Aged,0,6
My,Chaston,Male,92,1966-07-16,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,Victoria,Australia,9,NO,Middle_Aged,3,9
Isak,Bergstram,Male,14,2001-03-08,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,New South Wales,Australia,9,YES,Young,3,1
Grannie,Cracker,Male,28,1949-03-06,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,Queensland,Australia,8,YES,Senior_Citizen,3,2
Welby,Lourenco,Male,6,1975-12-27,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,New South Wales,Australia,9,NO,Middle_Aged,3,0
Glenn,Casbourne,Female,4,1981-08-08,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,Queensland,Australia,1,NO,Middle_Aged,1,0
Nadiya,Balasini,Female,40,1950-11-05,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,New South Wales,Australia,9,NO,Senior_Citizen,3,4
Tyne,Coate,Female,82,1965-07-15,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,New South Wales,Australia,8,YES,Middle_Aged,3,8
Christie,Anders,Male,38,1969-10-02,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,New South Wales,Australia,10,YES,Middle_Aged,3,3
Agnella,Capener,Female,58,1969-05-21,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,Victoria,Australia,6,YES,Middle_Aged,3,5
Bernardine,Delmonti,Female,39,1971-03-31,,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,New South Wales,Australia,8,NO,Middle_Aged,3,3
Daisy,Spowart,Female,60,1967-12-18,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,Queensland,Australia,3,NO,Middle_Aged,0,6
Denys,Minshall,Female,30,1961-12-26,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,New South Wales,Australia,8,NO,Senior_Citizen,2,3
Archibald,Blessed,Male,61,1969-02-10,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,New South Wales,Australia,11,NO,Middle_Aged,3,6
Feodor,Englishby,Male,54,1961-08-14,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,Victoria,Australia,5,NO,Senior_Citizen,2,5
Skippie,Yearsley,Male,6,1956-09-04,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,Queensland,Australia,5,YES,Senior_Citizen,1,0
Bill,,Female,74,1963-04-24,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,New South Wales,Australia,9,YES,Middle_Aged,3,7
Tessa,Friese,Female,89,1976-10-24,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,Queensland,Australia,9,NO,Middle_Aged,3,8
